path,count
ng-next-app/src/app/plugins/spbm-ui/common/profile/capability-list/controls/spbm-range-control.component.html,2
ng-next-app/src/app/plugins/spbm-ui/common/profile/capability-list/spbm-capability-list.component.html,5
ng-next-app/src/app/plugins/spbm-ui/common/profile/reapply/spbm-predicted-impact.html,9
ng-next-app/src/app/plugins/spbm-ui/common/profile/reapply/spbm-reapply-vm-storage-policy-warnings.html,1
ng-next-app/src/app/plugins/spbm-ui/common/profile/reapply/spbm-reapply-vm-storage-policy.html,3
ng-next-app/src/app/plugins/spbm-ui/common/profile/remove/spbm-remove-profile-modal.html,3
ng-next-app/src/app/plugins/spbm-ui/datastore/portlets/capability-profiles-capacity-portlet/spbm-datastore-capability-profiles-capacity.component.html,2
ng-next-app/src/app/plugins/spbm-ui/datastore/profiles/fcd/spbm-browse-profile-modal.component.html,2
ng-next-app/src/app/plugins/spbm-ui/datastore/profiles/spbm-datastore-resource-profiles-list.component.html,1
ng-next-app/src/app/plugins/spbm-ui/dsp/actions/create/spbm-dsp-modal.component.html,8
ng-next-app/src/app/plugins/spbm-ui/profile/create/components/spbm-legacy-line-of-service-category.component.html,1
ng-next-app/src/app/plugins/spbm-ui/profile/create/components/spbm-line-of-service-category.component.html,7
ng-next-app/src/app/plugins/spbm-ui/profile/create/spbm-common-ruleset-page.component.html,2
ng-next-app/src/app/plugins/spbm-ui/profile/create/spbm-legacy-common-ruleset-page.component.html,1
ng-next-app/src/app/plugins/spbm-ui/profile/create/spbm-profile-structure-page.component.html,4
ng-next-app/src/app/plugins/spbm-ui/profile/create/spbm-vsan-page.component.html,1
ng-next-app/src/app/plugins/spbm-ui/profile/create/spbm-vsandp-page.component.html,8
ng-next-app/src/app/plugins/spbm-ui/profile/create/spbm-vvol-ruleset-page.component.html,3
ng-next-app/src/app/plugins/spbm-ui/profile/create/tag/spbm-browse-tag-modal.component.html,4
ng-next-app/src/app/plugins/spbm-ui/profile/create/tag/spbm-tag-capability-list.component.html,2
ng-next-app/src/app/plugins/spbm-ui/profile/create/tag/spbm-tag-capability.component.html,5
ng-next-app/src/app/plugins/spbm-ui/profile/vm/manage/spbm-manage-vm-configure-replication-groups.html,11
ng-next-app/src/app/plugins/spbm-ui/profile/vm/manage/spbm-manage-vm-storage-profiles-batch.html,6
ng-next-app/src/app/plugins/spbm-ui/profile/vm/manage/spbm-manage-vm-storage-profiles.html,11
ng-next-app/src/app/plugins/spbm-ui/profile/vm/manage/spbm-storage-profile-predicted-impact-data-size.html,3
ng-next-app/src/app/plugins/spbm-ui/profile/vm/manage/spbm-storage-profile-predicted-impact.html,3
ng-next-app/src/app/plugins/spbm-ui/profile/vm/manage/spbm-storage-profile-replication-groups-info.html,4
ng-next-app/src/app/plugins/storage-ui/clusterwidestorage/adddatastore/cluster-wide-storage-clusters-list.component.html,2
ng-next-app/src/app/plugins/storage-ui/clusterwidestorage/compliance/cluster-wide-storage-clusters-compliance-list.component.html,1
ng-next-app/src/app/plugins/storage-ui/clusterwidestorage/entitytypeselector/cluster-wide-storage-entity-type-selector.component.html,8
ng-next-app/src/app/plugins/storage-ui/datastore/new-datastore/wizard/pages/vmfs/name-and-device-page/vmfs-name-and-device-page.component.html,8
ng-next-app/src/app/plugins/storage-ui/datastore/shared-vmdk/disable-shared-vmdk-dialog.component.html,3
ng-next-app/src/app/plugins/storage-ui/devices/edit-multipathing/hpp/edit-hpp-multipathing-policies-dialog.component.html,1
ng-next-app/src/app/plugins/storage-ui/iofilters/storage-io-filter-host-list.component.html,1
ng-next-app/src/app/plugins/storage-ui/iofilters/storage-io-filter-list.component.html,1
ng-next-app/src/app/plugins/storage-ui/iofilters/storage-io-filter-vm-modal.component.html,1
ng-next-app/src/app/plugins/storage-ui/vflash/cache-view/vflash-cache-view.component.html,2
ng-next-app/src/app/plugins/storage-ui/vflash/cache-view/vflash-edit-cache-dialog.component.html,3
ng-next-app/src/app/plugins/storage-ui/vflash/vflash-add-capacity-dialog.component.html,5
ng-next-app/src/app/plugins/storage-ui/vflash/vflash-resource-view.component.html,9
ng-next-app/src/app/plugins/vapp-ui/edit/pages/vapp-edit-details-page/vapp-edit-details-page.component.html,4
ng-next-app/src/app/plugins/vcextension-ui/eam/views/agency/agency-issue-list.component.html,6
ng-next-app/src/app/plugins/vcextension-ui/eam/views/agency/agency-list.component.html,6
ng-next-app/src/app/plugins/vcprofile-ui/folder/views/config/vcprofile-vc-config-cluster-list.component.html,1
ng-next-app/src/app/plugins/vcprofile-ui/folder/views/config/vcprofile-vc-config-drift-detail.renderer.html,3
ng-next-app/src/app/plugins/vcprofile-ui/folder/views/config/vcprofile-vc-config.page.html,4
ng-next-app/src/app/plugins/vcprofile-ui/vcprofile/import/vcprofile-import-modal.component.html,7
ng-next-app/src/app/plugins/vm-ui-lib/advanced-compatibility-dialog/advanced-compatibility-dialog.html,1
ng-next-app/src/app/plugins/vm-ui/vm-config/configuration-params/advanced-edit-configuration.component.html,3
ng-next-app/src/app/plugins/vm-ui/vm-options/vmrc-options/vmrc-options.html,7
ng-next-app/src/app/plugins/vm-ui/vm-sdrs-rules/vm-anti-affinity-rule-members/vm-anti-affinity-rule-members.html,2
ng-next-app/src/app/plugins/vm-ui/vm-sdrs-rules/vm-sdrs-rules.html,3
ng-next-app/src/app/plugins/vm-ui/vm-snapshots/actions/snapshot-create-edit.html,4
ng-next-app/src/app/plugins/vm-ui/vm-snapshots/vm-snapshots.html,15
ng-next-app/src/app/plugins/vm-ui/vm-summary/vm-summary-view/vm-summary-template-versioning/vm-summary-template-versioning.html,1
ng-next-app/src/app/plugins/vm-ui/vm-tools/install-upgrade/install-upgrade-modal/vm-tools-install-upgrade-modal.component.html,1
ng-next-app/src/app/plugins/wcp-ui/clusters/configure/certificates/csr/cluster-csr-gen-page.html,3
ng-next-app/src/app/plugins/wcp-ui/clusters/configure/certificates/csr/cluster-csr-info-page.html,7
ng-next-app/src/app/plugins/wcp-ui/clusters/configure/certificates/csr/cluster-csr-wizard.html,5
ng-next-app/src/app/plugins/wcp-ui/clusters/configure/certificates/replace/cluster-certificate-replace.html,2
ng-next-app/src/app/plugins/wcp-ui/clusters/configure/general/configure-namespaces-general.html,11
ng-next-app/src/app/plugins/wcp-ui/clusters/configure/general/content-library-modal/content-library-modal.html,1
ng-next-app/src/app/plugins/wcp-ui/clusters/portlets/namespace-portlet/namespace-portlet.html,1
ng-next-app/src/app/plugins/wcp-ui/clusters/wcp-clusters.html,1
ng-next-app/src/app/plugins/wcp-ui/general/components/card-status/card-status-modal.component.html,1
ng-next-app/src/app/plugins/wcp-ui/general/components/remove-cluster-confirmation-modal/remove-cluster-confirmation-modal.html,1
ng-next-app/src/app/plugins/wcp-ui/general/components/vcenter-selector/vcenter-selector.component.html,1
ng-next-app/src/app/plugins/wcp-ui/general/components/wcp-license/wcp-license.component.html,1
